model,model_id,semantic_run_id,items,item_format_blocks,controlled_baseline_raw_accuracy,controlled_baseline_cal_accuracy,position_only_raw_accuracy,position_only_cal_accuracy,label_only_raw_accuracy,label_only_cal_accuracy,text_generated_accuracy,text_total_likelihood_accuracy,text_mean_likelihood_accuracy,ambiguous_text_blocks
Mistral,mistralai/Mistral-7B-Instruct-v0.3,c5bebfc04bc812355a2e,2401,21609,0.4735526863806747,0.5064093664676755,0.39839737639997286,0.4375966833735471,0.415630220902153,0.4454860466555171,0.18399740848720442,0.5273274664196387,0.5148679944418713,19
Phi,microsoft/Phi-3.5-mini-instruct,e2ef2d9da28f38b214b3,2401,21609,0.573094543940025,0.5757323337498265,0.5310933729348452,0.533320957861521,0.5349607078769885,0.5320988800198045,0.20634920634920634,0.5543770264011116,0.5133858267716536,19
Qwen,Qwen/Qwen2.5-1.5B-Instruct,3e1ae35c9df94de5a2f6,2401,21609,0.4797075292702115,0.48831505391272156,0.4140214095662335,0.40854526328816265,0.41414516428438175,0.4227925252150193,0.049655236244157526,0.39004168596572486,0.35405280222325153,19
