model,comparison,mean,ci_low,ci_high,n_clusters,n_rows
Mistral,candidate_text_minus_baseline_cal,0.020912698412698414,0.010616038359788362,0.031122453703703697,2400,21590
Mistral,wrapper_amplification_candidate_text_readout,-0.015863914373088688,-0.03358745134834584,0.0022788087294967887,2398,19182
Phi,candidate_text_minus_baseline_cal,-0.021657407407407406,-0.03238935185185186,-0.011749537037037041,2400,21590
Phi,wrapper_amplification_candidate_text_readout,-0.0031797331109257713,-0.01887119474562135,0.013709341117597999,2398,19182
Qwen,candidate_text_minus_baseline_cal,-0.098,-0.11351157407407407,-0.08151620370370372,2400,21590
Qwen,wrapper_amplification_candidate_text_readout,0.015012510425354461,-0.004899916597164304,0.03476855713094245,2398,19182
