manipulation,model_left,model_right,item_sensitivity_spearman,left_sensitive_rate,right_sensitive_rate,any_flip_jaccard,items
position_only,Qwen,Phi,0.4270807401152072,0.9929196168263223,0.9429404414827155,0.9447698744769875,2401
position_only,Qwen,Mistral,0.4223888313802956,0.9929196168263223,0.9837567680133278,0.9816283924843424,2401
position_only,Phi,Mistral,0.4866693078488528,0.9429404414827155,0.9837567680133278,0.9436974789915966,2401
label_only,Qwen,Phi,0.49776207307858206,0.9758433985839233,0.9246147438567264,0.9285714285714286,2401
label_only,Qwen,Mistral,0.518415416571465,0.9758433985839233,0.9804248229904207,0.9702181208053692,2401
label_only,Phi,Mistral,0.5079696390396604,0.9246147438567264,0.9804248229904207,0.9250841750841751,2401
