model,scope,items,row_calibrated_accuracy,answer_conflict_rate,correctness_conflict_rate,all_correct_rate,all_wrong_rate
Qwen,all_3000,3000,0.4841666666666667,0.759,0.6203333333333333,0.174,0.20566666666666666
Qwen,causal_2401,2401,0.4833923365264473,0.7546855476884632,0.6159933361099542,0.17617659308621408,0.20783007080383173
Phi,all_3000,3000,0.5677916666666667,0.659,0.5513333333333333,0.2623333333333333,0.18633333333333332
Phi,causal_2401,2401,0.5698146605581008,0.6555601832569763,0.5518533944189921,0.2640566430653894,0.1840899625156185
Mistral,all_3000,3000,0.5025833333333334,0.7903333333333333,0.6623333333333333,0.164,0.17366666666666666
Mistral,causal_2401,2401,0.5032798833819242,0.7880049979175343,0.6588921282798834,0.1657642648896293,0.1753436068304873
