model,blocks,usable_blocks,generated_exact_accuracy,candidate_total_accuracy,exact_any_candidate_rate,label_instead_of_text_rate,candidate_correct_given_letter_correct,candidate_correct_given_letter_wrong,generated_correct_given_candidate_correct,generated_correct_given_candidate_wrong
Qwen,21609,21590,0.04969893469198703,0.39004168596572486,0.1174617878647522,0.5887447892542844,0.5351484678872972,0.2516064802244547,0.10438190238688992,0.014731566557825196
Phi,21609,21590,0.20648448355720242,0.5543770264011116,0.3714219546086151,0.3176470588235294,0.8056449018977163,0.2130216298885733,0.3359512072854875,0.04542147385926619
Mistral,21609,21590,0.1841130152848541,0.5273274664196387,0.34363131079203335,0.25974988420565076,0.8051769871032654,0.24228206812423758,0.3297321036451471,0.02165605095541401
