anchor,layer,run_kind,n_items,n_rows,attention_mass_question,attention_mass_options,attention_mass_question_options,attention_mass_wrapper_syntax,attention_mass_instruction,attention_entropy,content_vs_wrapper_focus_ratio
all_option_ends,0,clean_correct_wrapped,285,3420,0.12700320082636593,0.6740757187247313,0.8010789195510972,0.19892108090923558,0.0,2.6997159036453704,34645714455.65089
all_option_ends,0,corrupt_wrong_wrapped,285,3420,0.1226667037398626,0.6817739112730695,0.8044406150129321,0.1955593865608569,0.0,2.6921863716248184,33044198512.80443
all_option_ends,0,vanilla_same_item,285,3420,0.17950119138304238,0.655533128303409,0.8350343196864514,0.16496568242560242,0.0,2.632731910964899,28226077961.619114
all_option_ends,1,clean_correct_wrapped,285,3420,0.17486489517859755,0.5146192734886813,0.6894841686672789,0.3105158314474519,0.0,3.575479414414244,43.59101556825015
all_option_ends,1,corrupt_wrong_wrapped,285,3420,0.1811237235455348,0.5142403728624781,0.6953640964080129,0.3046359035129323,0.0,3.587011368651139,107.689277307879
all_option_ends,1,vanilla_same_item,285,3420,0.2373206012474094,0.4828154757957087,0.7201360770431181,0.27986392367006296,0.0,3.3931228230222623,58.04413470070391
all_option_ends,2,clean_correct_wrapped,285,3420,0.08680871602334014,0.33193053843804315,0.4187392544613833,0.5812607452509604,0.0,2.4632577977442778,2.019188153251251
all_option_ends,2,corrupt_wrong_wrapped,285,3420,0.08707593399801561,0.3324927406899201,0.4195686746879357,0.5804313258459922,0.0,2.474204115580484,2.341773723820253
all_option_ends,2,vanilla_same_item,285,3420,0.5455796020763125,0.3055084175616081,0.8510880196379207,0.14891197980820317,0.0,2.2584191390558295,25.64610248458347
all_option_ends,3,clean_correct_wrapped,285,3420,0.13028048223803348,0.28566512656956927,0.41594560880760273,0.5840543909548109,0.0,2.3745603603577754,2.241694363353238
all_option_ends,3,corrupt_wrong_wrapped,285,3420,0.12905938091858227,0.288323202249858,0.4173825831684403,0.5826174167221208,0.0,2.3976208769177134,9.639356930884151
all_option_ends,3,vanilla_same_item,285,3420,0.6309739957144211,0.24825457436119736,0.8792285700756185,0.12077142900453025,0.0,2.1367797286451213,96.9937983877035
