anchor,layer,n_items,cos_clean_vanilla,cos_corrupt_vanilla,delta_clean_minus_corrupt
all_option_ends,2,285,0.933805025042149,0.9269051426335385,0.006899882408610562
all_option_ends,4,285,0.9294176455129657,0.9190292446236862,0.01038840088927955
all_option_ends,6,285,0.9580153038627223,0.9532848130192673,0.004730490843454996
all_option_ends,8,285,0.9577246145198219,0.952789606964379,0.004935007555442944
all_option_ends,10,285,0.9592619952402617,0.9539019668311404,0.005360028409121329
all_option_ends,12,285,0.9626445410544412,0.9576543814257572,0.004990159628684061
all_option_ends,14,285,0.964964547282771,0.9593565792368169,0.005607968045954119
all_option_ends,16,285,0.9640549003032216,0.958610717455546,0.005444182847675524
options_end,2,285,0.9167637026100828,0.9132585501461699,0.0035051524639129637
options_end,4,285,0.9056738021080954,0.8991513907909393,0.006522411317156072
options_end,6,285,0.9355607532618339,0.9320937247652756,0.003467028496558206
options_end,8,285,0.9325998691090366,0.9278286039829254,0.004771265126111215
options_end,10,285,0.9359534512486374,0.9298645833082366,0.006088867940400776
options_end,12,285,0.9422451332995766,0.9369270745076631,0.005318058791913484
options_end,14,285,0.946336701669191,0.9387267480816758,0.0076099535875153125
options_end,16,285,0.9436411445600945,0.9364538696774265,0.007187274882667943
